2024-02-17 08:10:14.894 INFO  com.alibaba.nacos.common.remote.client            :60   nacos-grpc-client-executor-127.0.0.1-6832 [32m                [0;39m [40233366-66ac-4a5a-80c2-a97de7b5746c] Receive server push request, request = NotifySubscriberRequest, requestId = 44
2024-02-17 11:14:38.923 INFO  io.seata.core.rpc.netty.NettyPoolableFactory      :133  NettyClientSelector_TMROLE_1_1 [32m                [0;39m channel valid false,channel:[id: 0x1c46e7ca, L:/192.168.188.1:54695 ! R:/192.168.188.1:8091]
2024-02-17 11:14:38.923 INFO  io.seata.core.rpc.netty.NettyPoolableFactory      :120  NettyClientSelector_TMROLE_1_1 [32m                [0;39m will destroy channel:[id: 0x1c46e7ca, L:/192.168.188.1:54695 ! R:/192.168.188.1:8091]
2024-02-17 11:14:38.924 INFO  i.seata.core.rpc.netty.AbstractNettyRemotingClient:488  NettyClientSelector_TMROLE_1_1 [32m                [0;39m ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x1c46e7ca, L:/192.168.188.1:54695 ! R:/192.168.188.1:8091]) will closed
2024-02-17 11:14:38.925 INFO  i.seata.core.rpc.netty.AbstractNettyRemotingClient:488  NettyClientSelector_TMROLE_1_1 [32m                [0;39m ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x1c46e7ca, L:/192.168.188.1:54695 ! R:/192.168.188.1:8091]) will closed
2024-02-17 11:14:38.925 WARN  com.zaxxer.hikari.pool.HikariPool                 :804  HikariPool-1 housekeeper [32m                [0;39m HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=2h3m45s936ms607µs600ns).
2024-02-17 11:14:39.246 INFO  i.seata.core.rpc.netty.AbstractNettyRemotingClient:450  NettyClientSelector_RMROLE_1_1 [32m                [0;39m channel [id: 0xf2c6539d, L:/192.168.188.1:54698 - R:/192.168.188.1:8091] read idle.
2024-02-17 11:14:39.328 INFO  io.seata.core.rpc.netty.NettyPoolableFactory      :120  NettyClientSelector_RMROLE_1_1 [32m                [0;39m will destroy channel:[id: 0xf2c6539d, L:/192.168.188.1:54698 - R:/192.168.188.1:8091]
2024-02-17 11:14:39.329 INFO  i.seata.core.rpc.netty.AbstractNettyRemotingClient:488  NettyClientSelector_RMROLE_1_1 [32m                [0;39m ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0xf2c6539d, L:/192.168.188.1:54698 - R:/192.168.188.1:8091]) will closed
2024-02-17 11:14:39.329 INFO  i.seata.core.rpc.netty.AbstractNettyRemotingClient:488  NettyClientSelector_RMROLE_1_1 [32m                [0;39m ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0xf2c6539d, L:/192.168.188.1:54698 ! R:/192.168.188.1:8091]) will closed
2024-02-17 11:14:39.329 INFO  io.seata.core.rpc.netty.NettyClientChannelManager :133  NettyClientSelector_RMROLE_1_1 [32m                [0;39m return to pool, rm channel:[id: 0xf2c6539d, L:/192.168.188.1:54698 ! R:/192.168.188.1:8091]
2024-02-17 11:14:39.329 INFO  io.seata.core.rpc.netty.NettyPoolableFactory      :133  NettyClientSelector_RMROLE_1_1 [32m                [0;39m channel valid false,channel:[id: 0xf2c6539d, L:/192.168.188.1:54698 ! R:/192.168.188.1:8091]
2024-02-17 11:14:39.329 INFO  io.seata.core.rpc.netty.NettyPoolableFactory      :120  NettyClientSelector_RMROLE_1_1 [32m                [0;39m will destroy channel:[id: 0xf2c6539d, L:/192.168.188.1:54698 ! R:/192.168.188.1:8091]
2024-02-17 11:14:39.329 INFO  i.seata.core.rpc.netty.AbstractNettyRemotingClient:488  NettyClientSelector_RMROLE_1_1 [32m                [0;39m ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0xf2c6539d, L:/192.168.188.1:54698 ! R:/192.168.188.1:8091]) will closed
2024-02-17 11:14:39.329 INFO  i.seata.core.rpc.netty.AbstractNettyRemotingClient:488  NettyClientSelector_RMROLE_1_1 [32m                [0;39m ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0xf2c6539d, L:/192.168.188.1:54698 ! R:/192.168.188.1:8091]) will closed
2024-02-17 11:14:39.329 INFO  i.seata.core.rpc.netty.AbstractNettyRemotingClient:438  NettyClientSelector_RMROLE_1_1 [32m                [0;39m channel inactive: [id: 0xf2c6539d, L:/192.168.188.1:54698 ! R:/192.168.188.1:8091]
2024-02-17 11:14:39.330 INFO  io.seata.core.rpc.netty.NettyPoolableFactory      :133  NettyClientSelector_RMROLE_1_1 [32m                [0;39m channel valid false,channel:[id: 0xf2c6539d, L:/192.168.188.1:54698 ! R:/192.168.188.1:8091]
2024-02-17 11:14:39.330 INFO  io.seata.core.rpc.netty.NettyPoolableFactory      :120  NettyClientSelector_RMROLE_1_1 [32m                [0;39m will destroy channel:[id: 0xf2c6539d, L:/192.168.188.1:54698 ! R:/192.168.188.1:8091]
2024-02-17 11:14:39.330 INFO  i.seata.core.rpc.netty.AbstractNettyRemotingClient:488  NettyClientSelector_RMROLE_1_1 [32m                [0;39m ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0xf2c6539d, L:/192.168.188.1:54698 ! R:/192.168.188.1:8091]) will closed
2024-02-17 11:14:39.330 INFO  i.seata.core.rpc.netty.AbstractNettyRemotingClient:488  NettyClientSelector_RMROLE_1_1 [32m                [0;39m ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0xf2c6539d, L:/192.168.188.1:54698 ! R:/192.168.188.1:8091]) will closed
2024-02-17 11:14:39.992 INFO  com.alibaba.nacos.common.remote.client            :60   nacos-grpc-client-executor-127.0.0.1-7565 [32m                [0;39m [40233366-66ac-4a5a-80c2-a97de7b5746c] Receive server push request, request = NotifySubscriberRequest, requestId = 53
2024-02-17 11:14:39.994 INFO  com.alibaba.nacos.client.naming                   :241  nacos-grpc-client-executor-127.0.0.1-7565 [32m                [0;39m removed ips(1) service: SEATA_GROUP@@seata-server@@default -> [{"instanceId":"192.168.188.1#8091#default#SEATA_GROUP@@seata-server","ip":"192.168.188.1","port":8091,"weight":1.0,"healthy":true,"enabled":true,"ephemeral":true,"clusterName":"default","serviceName":"SEATA_GROUP@@seata-server","metadata":{},"instanceHeartBeatTimeOut":15000,"instanceHeartBeatInterval":5000,"instanceIdGenerator":"simple","ipDeleteTimeout":30000}]
2024-02-17 11:14:39.994 INFO  com.alibaba.nacos.client.naming                   :169  nacos-grpc-client-executor-127.0.0.1-7565 [32m                [0;39m current ips:(0) service: SEATA_GROUP@@seata-server@@default -> []
2024-02-17 11:14:39.995 INFO  i.s.d.registry.nacos.NacosRegistryServiceImpl     :185  nacos.publisher-com.alibaba.nacos.client.naming.event.InstancesChangeEvent [32m                [0;39m receive empty server list,cluster:default
2024-02-17 11:14:40.013 INFO  com.alibaba.nacos.common.remote.client            :60   nacos-grpc-client-executor-127.0.0.1-7565 [32m                [0;39m [40233366-66ac-4a5a-80c2-a97de7b5746c] Ack server push request, request = NotifySubscriberRequest, requestId = 53
2024-02-17 11:14:40.642 INFO  io.seata.core.rpc.netty.NettyClientChannelManager :108  timeoutChecker_1_1 [32m                [0;39m will connect to 192.168.188.1:8091
2024-02-17 11:14:40.644 INFO  io.seata.core.rpc.netty.NettyPoolableFactory      :56   timeoutChecker_1_1 [32m                [0;39m NettyPool create channel to transactionRole:TMROLE,address:192.168.188.1:8091,msg:< RegisterTMRequest{applicationId='business', transactionServiceGroup='train-group'} >
2024-02-17 11:14:40.656 INFO  io.seata.core.rpc.netty.TmNettyRemotingClient     :224  timeoutChecker_1_1 [32m                [0;39m register TM success. client version:1.6.1, server version:1.6.1,channel:[id: 0x26db1066, L:/192.168.188.1:61348 - R:/192.168.188.1:8091]
2024-02-17 11:14:40.657 INFO  io.seata.core.rpc.netty.NettyPoolableFactory      :81   timeoutChecker_1_1 [32m                [0;39m register success, cost 9 ms, version:1.6.1,role:TMROLE,channel:[id: 0x26db1066, L:/192.168.188.1:61348 - R:/192.168.188.1:8091]
2024-02-17 11:14:40.945 INFO  io.seata.core.rpc.netty.NettyClientChannelManager :108  timeoutChecker_2_1 [32m                [0;39m will connect to 192.168.188.1:8091
2024-02-17 11:14:40.948 INFO  io.seata.core.rpc.netty.RmNettyRemotingClient     :276  timeoutChecker_2_1 [32m                [0;39m RM will register :jdbc:mysql://127.0.0.1:3306/train_business
2024-02-17 11:14:40.949 INFO  io.seata.core.rpc.netty.NettyPoolableFactory      :56   timeoutChecker_2_1 [32m                [0;39m NettyPool create channel to transactionRole:RMROLE,address:192.168.188.1:8091,msg:< RegisterRMRequest{resourceIds='jdbc:mysql://127.0.0.1:3306/train_business', applicationId='business', transactionServiceGroup='train-group'} >
2024-02-17 11:14:40.957 INFO  io.seata.core.rpc.netty.RmNettyRemotingClient     :177  timeoutChecker_2_1 [32m                [0;39m register RM success. client version:1.6.1, server version:1.6.1,channel:[id: 0xce9f9876, L:/192.168.188.1:61350 - R:/192.168.188.1:8091]
2024-02-17 11:14:40.958 INFO  io.seata.core.rpc.netty.NettyPoolableFactory      :81   timeoutChecker_2_1 [32m                [0;39m register success, cost 7 ms, version:1.6.1,role:RMROLE,channel:[id: 0xce9f9876, L:/192.168.188.1:61350 - R:/192.168.188.1:8091]
2024-02-17 11:14:45.356 INFO  com.alibaba.nacos.common.remote.client            :60   nacos-grpc-client-executor-127.0.0.1-7566 [32m                [0;39m [40233366-66ac-4a5a-80c2-a97de7b5746c] Receive server push request, request = NotifySubscriberRequest, requestId = 60
2024-02-17 11:14:45.357 INFO  com.alibaba.nacos.client.naming                   :235  nacos-grpc-client-executor-127.0.0.1-7566 [32m                [0;39m new ips(1) service: SEATA_GROUP@@seata-server@@default -> [{"instanceId":"192.168.188.1#8091#default#SEATA_GROUP@@seata-server","ip":"192.168.188.1","port":8091,"weight":1.0,"healthy":true,"enabled":true,"ephemeral":true,"clusterName":"default","serviceName":"SEATA_GROUP@@seata-server","metadata":{},"instanceHeartBeatTimeOut":15000,"instanceHeartBeatInterval":5000,"instanceIdGenerator":"simple","ipDeleteTimeout":30000}]
2024-02-17 11:14:45.357 INFO  com.alibaba.nacos.client.naming                   :169  nacos-grpc-client-executor-127.0.0.1-7566 [32m                [0;39m current ips:(1) service: SEATA_GROUP@@seata-server@@default -> [{"instanceId":"192.168.188.1#8091#default#SEATA_GROUP@@seata-server","ip":"192.168.188.1","port":8091,"weight":1.0,"healthy":true,"enabled":true,"ephemeral":true,"clusterName":"default","serviceName":"SEATA_GROUP@@seata-server","metadata":{},"instanceHeartBeatTimeOut":15000,"instanceHeartBeatInterval":5000,"instanceIdGenerator":"simple","ipDeleteTimeout":30000}]
2024-02-17 11:14:45.395 INFO  com.alibaba.nacos.common.remote.client            :60   nacos-grpc-client-executor-127.0.0.1-7566 [32m                [0;39m [40233366-66ac-4a5a-80c2-a97de7b5746c] Ack server push request, request = NotifySubscriberRequest, requestId = 60
2024-02-17 15:02:01.847 INFO  i.seata.core.rpc.netty.AbstractNettyRemotingClient:450  NettyClientSelector_TMROLE_1_1 [32m                [0;39m channel [id: 0x26db1066, L:/192.168.188.1:61348 - R:/192.168.188.1:8091] read idle.
2024-02-17 15:02:01.847 INFO  io.seata.core.rpc.netty.NettyPoolableFactory      :120  NettyClientSelector_TMROLE_1_1 [32m                [0;39m will destroy channel:[id: 0x26db1066, L:/192.168.188.1:61348 - R:/192.168.188.1:8091]
2024-02-17 15:02:01.848 INFO  i.seata.core.rpc.netty.AbstractNettyRemotingClient:488  NettyClientSelector_TMROLE_1_1 [32m                [0;39m ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x26db1066, L:/192.168.188.1:61348 - R:/192.168.188.1:8091]) will closed
2024-02-17 15:02:01.848 INFO  i.seata.core.rpc.netty.AbstractNettyRemotingClient:488  NettyClientSelector_TMROLE_1_1 [32m                [0;39m ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x26db1066, L:/192.168.188.1:61348 ! R:/192.168.188.1:8091]) will closed
2024-02-17 15:02:01.848 INFO  io.seata.core.rpc.netty.NettyClientChannelManager :133  NettyClientSelector_TMROLE_1_1 [32m                [0;39m return to pool, rm channel:[id: 0x26db1066, L:/192.168.188.1:61348 ! R:/192.168.188.1:8091]
2024-02-17 15:02:01.848 INFO  io.seata.core.rpc.netty.NettyPoolableFactory      :133  NettyClientSelector_TMROLE_1_1 [32m                [0;39m channel valid false,channel:[id: 0x26db1066, L:/192.168.188.1:61348 ! R:/192.168.188.1:8091]
2024-02-17 15:02:01.848 INFO  io.seata.core.rpc.netty.NettyPoolableFactory      :120  NettyClientSelector_TMROLE_1_1 [32m                [0;39m will destroy channel:[id: 0x26db1066, L:/192.168.188.1:61348 ! R:/192.168.188.1:8091]
2024-02-17 15:02:01.848 INFO  i.seata.core.rpc.netty.AbstractNettyRemotingClient:488  NettyClientSelector_TMROLE_1_1 [32m                [0;39m ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x26db1066, L:/192.168.188.1:61348 ! R:/192.168.188.1:8091]) will closed
2024-02-17 15:02:01.849 INFO  i.seata.core.rpc.netty.AbstractNettyRemotingClient:488  NettyClientSelector_TMROLE_1_1 [32m                [0;39m ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x26db1066, L:/192.168.188.1:61348 ! R:/192.168.188.1:8091]) will closed
2024-02-17 15:02:01.849 INFO  i.seata.core.rpc.netty.AbstractNettyRemotingClient:438  NettyClientSelector_TMROLE_1_1 [32m                [0;39m channel inactive: [id: 0x26db1066, L:/192.168.188.1:61348 ! R:/192.168.188.1:8091]
2024-02-17 15:02:01.849 INFO  io.seata.core.rpc.netty.NettyPoolableFactory      :133  NettyClientSelector_TMROLE_1_1 [32m                [0;39m channel valid false,channel:[id: 0x26db1066, L:/192.168.188.1:61348 ! R:/192.168.188.1:8091]
2024-02-17 15:02:01.849 INFO  io.seata.core.rpc.netty.NettyPoolableFactory      :120  NettyClientSelector_TMROLE_1_1 [32m                [0;39m will destroy channel:[id: 0x26db1066, L:/192.168.188.1:61348 ! R:/192.168.188.1:8091]
2024-02-17 15:02:01.849 INFO  i.seata.core.rpc.netty.AbstractNettyRemotingClient:488  NettyClientSelector_TMROLE_1_1 [32m                [0;39m ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x26db1066, L:/192.168.188.1:61348 ! R:/192.168.188.1:8091]) will closed
2024-02-17 15:02:01.849 INFO  i.seata.core.rpc.netty.AbstractNettyRemotingClient:488  NettyClientSelector_TMROLE_1_1 [32m                [0;39m ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0x26db1066, L:/192.168.188.1:61348 ! R:/192.168.188.1:8091]) will closed
2024-02-17 15:02:02.198 INFO  i.seata.core.rpc.netty.AbstractNettyRemotingClient:450  NettyClientSelector_RMROLE_1_1 [32m                [0;39m channel [id: 0xce9f9876, L:/192.168.188.1:61350 - R:/192.168.188.1:8091] read idle.
2024-02-17 15:02:02.198 INFO  io.seata.core.rpc.netty.NettyPoolableFactory      :120  NettyClientSelector_RMROLE_1_1 [32m                [0;39m will destroy channel:[id: 0xce9f9876, L:/192.168.188.1:61350 - R:/192.168.188.1:8091]
2024-02-17 15:02:02.199 INFO  i.seata.core.rpc.netty.AbstractNettyRemotingClient:488  NettyClientSelector_RMROLE_1_1 [32m                [0;39m ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0xce9f9876, L:/192.168.188.1:61350 - R:/192.168.188.1:8091]) will closed
2024-02-17 15:02:02.264 INFO  i.seata.core.rpc.netty.AbstractNettyRemotingClient:488  NettyClientSelector_RMROLE_1_1 [32m                [0;39m ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0xce9f9876, L:/192.168.188.1:61350 ! R:/192.168.188.1:8091]) will closed
2024-02-17 15:02:02.264 INFO  io.seata.core.rpc.netty.NettyClientChannelManager :133  NettyClientSelector_RMROLE_1_1 [32m                [0;39m return to pool, rm channel:[id: 0xce9f9876, L:/192.168.188.1:61350 ! R:/192.168.188.1:8091]
2024-02-17 15:02:02.264 INFO  io.seata.core.rpc.netty.NettyPoolableFactory      :133  NettyClientSelector_RMROLE_1_1 [32m                [0;39m channel valid false,channel:[id: 0xce9f9876, L:/192.168.188.1:61350 ! R:/192.168.188.1:8091]
2024-02-17 15:02:02.264 INFO  io.seata.core.rpc.netty.NettyPoolableFactory      :120  NettyClientSelector_RMROLE_1_1 [32m                [0;39m will destroy channel:[id: 0xce9f9876, L:/192.168.188.1:61350 ! R:/192.168.188.1:8091]
2024-02-17 15:02:02.264 INFO  i.seata.core.rpc.netty.AbstractNettyRemotingClient:488  NettyClientSelector_RMROLE_1_1 [32m                [0;39m ChannelHandlerContext(AbstractNettyRemotingClient$ClientHandler#0, [id: 0xce9f9876, L:/192.168.188.1:61350 ! R:/192.168.188.1:8091]) will closed
